Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built After 2005,Total Households for Tenure,Dwellings by Tenure Renter %,Dwellings by Tenure Owner %,Total Households For Structure Type Houses %,"Total Households For Structure Type Apartment, Building Low And High Rise %",Total Households For Structure Type Other Dwelling Types %,Estimated Family Size,label
4051,1441,68242.12,323,199,53,182,526,158,1343,0.31571109456440805,0.684288905435592,0.6321998612074948,0.36433032616238725,0.0034698126301179735,2.8112421929215823,0
2329,1026,88172.37,927,70,15,3,0,11,991,0.21493440968718466,0.7850655903128153,0.7719298245614035,0.22417153996101363,0.003898635477582846,2.269980506822612,0
5276,2071,103853.38,3,607,567,651,106,137,1903,0.2002101944298476,0.7997898055701524,0.6846933848382424,0.3148237566393047,0.0004828585224529213,2.5475615644616125,0
5967,2203,82796.63,133,1695,248,79,0,48,2079,0.38816738816738816,0.6118326118326118,0.634135270086246,0.36586472991375396,0.0,2.7085792101679527,0
4236,1419,91648.22,0,7,127,938,143,204,1348,0.1201780415430267,0.8798219584569733,0.6441155743481325,0.3558844256518675,0.0,2.985200845665962,0
3939,1329,301209.74,712,121,84,139,50,223,1230,0.18943089430894308,0.8105691056910569,0.8344620015048909,0.1617757712565839,0.003762227238525207,2.963882618510158,0
4923,2458,44841.42,515,1166,235,223,79,240,2330,0.6068669527896996,0.3931330472103004,0.3844589096826688,0.6094385679414158,0.006102522375915379,2.0028478437754274,0
4032,1540,78821.71,423,365,334,277,68,73,1420,0.18661971830985916,0.8133802816901409,0.861038961038961,0.13506493506493505,0.003896103896103896,2.618181818181818,0
6488,2899,52939.18,416,1658,434,248,29,114,2676,0.4428251121076233,0.5571748878923767,0.5964125560538116,0.40358744394618834,0.0,2.238013107968265,0
5542,2078,189620.73,18,751,204,300,384,421,2029,0.1996057171020207,0.7905372104484968,0.4340712223291627,0.0519730510105871,0.5139557266602502,2.6669874879692013,0
